"folderlist$BookmarkFolder","BookMark","BookMarkDescription"
"Mozilla Firefox","http://www.mozilla.com/en-US/firefox/help/","Help and Tutorials"
"Mozilla Firefox","http://www.mozilla.com/en-US/firefox/customize/","Customize Firefox"
"Mozilla Firefox","http://www.mozilla.com/en-US/firefox/community/","Get Involved"
"Mozilla Firefox","http://www.mozilla.com/en-US/about/","About Us"
"Mozilla Firefox","http://flashblock.mozdev.org/","mozdev.org - flashblock: index"
"Mozilla Firefox","http://www.lifehacker.com.au/2014/02/make-firefox-less-likely-to-crash-or-freeze-from-flash-content/","Make Firefox Less Likely To Crash Or Freeze From Flash Content | Lifehacker Australia"
"Mozilla Firefox","https://www.google.com/search?q=how+to+set+flash+ask+to+activate+in+firefox&ie=utf-8&oe=utf-8&aq=t&rls=org.mozilla:en-US:official&client=firefox-a&channel=np&source=hp","how to set flash ask to activate in firefox - Google Search"
"Mozilla Firefox","https://support.mozilla.org/en-US/questions/939920","Firefox Memory Leak &lt;!FIX!&gt; | Firefox Support Forum | Mozilla Support"
"Mozilla Firefox","https://addons.mozilla.org/en-US/firefox/addon/ramback/?src=ss","RAMBack :: Add-ons for Firefox"
"Mozilla Firefox","https://addons.mozilla.org/en-US/firefox/addon/memory-fox/?src=search","Memory Fox :: Add-ons for Firefox"
"Mozilla Firefox","https://addons.mozilla.org/en-US/firefox/addon/memory-restart/?src=ss","Memory Restart :: Add-ons for Firefox"
"Mozilla Firefox","https://addons.mozilla.org/en-US/firefox/addon/speedfox/?src=search","SpeedFox :: Add-ons for Firefox"
"Mozilla Firefox","https://addons.mozilla.org/en-US/firefox/addon/downthemall/?src=search","DownThemAll! :: Add-ons for Firefox"
"Mozilla Firefox","https://idevfh.com/","Process Memory Efficiency Usage 64-bit or 32-bit 2013"
"Mail","http://statbandit.com:2095/webmail/x3/?login=1","Webmail StatBandit"
"Mail","http://apin.com:2095/webmail/x3/?login=1","Webmail APIN"
"Mail","http://mifoos.com:2095/3rdparty/roundcube/?_task=mail&_mbox=INBOX.Sent&_refresh=1","(110) Roundcube Webmail :: Inbox"
"Mail","http://mifoos.com:2095/webmaillogout.cgi","Webmail Login"
"StatBandit","http://statbandit.com/administrator/index.php?option=com_login","StatBandit * May the Odds Be With You - Administration"
"StatBandit","http://statbandit.com/2571/","Ionosphere - March 2012 Template Demo"
"StatBandit","http://civilstat.com/","Civil Statistician | Stats, datavis, edu, brains, etc."
"StatBandit","http://openintro.org/stat/textbook.php","OpenIntro STATS Textbook"
"StatBandit","http://jsresearch.net/groups/teachdatascience/","Teach Data Science"
"StatBandit","http://datascience101.wordpress.com/","Data Science 101 | Learning To Be A Data Scientist"
"StatBandit","http://bit-player.org/2012/dancing-with-the-spheres","Dancing with the Spheres | bit-player"
"StatBandit","http://www.fellstat.com/","Fellows Statistics"
"StatBandit","http://www.stat.cmu.edu/~cshalizi/ADAfaEPoV/","Advanced Data Analysis from an Elementary Point of View"
"StatBandit","http://www.tangotiger.com/index.php","Tangotiger Blog"
"StatBandit","http://espn.go.com/blog/nflnation/post/_/id/71737/bringing-advanced-stats-to-rice-moss-talk","Bringing advanced stats to Rice-Moss talk - NFL Nation Blog - ESPN"
"StatBandit","http://www.numberfire.com/nfl/news/521/who-s-better-jerry-rice-or-randy-moss","Who&#39;s Better: Jerry Rice or Randy Moss? - numberFire"
"StatBandit","http://www.numberfire.com/","Fantasy Projections and Sports Analytics - numberFire"
"StatBandit","http://www.outsidethebeltway.com/barone-not-learning/","Barone not Learning"
"StatBandit","http://scc.stat.ucla.edu/","UCLA Statistical Consulting Center"
"StatBandit","http://fivethirtyeight.blogs.nytimes.com/2013/02/22/oscar-predictions-election-style/","Oscar Predictions, Election-Style - NYTimes.com"
"StatBandit","http://www.statisticsblog.com/","Probability and statistics blog"
"StatBandit","http://www.newyorker.com/online/blogs/books/2013/01/what-nate-silver-gets-wrong.html","Bayesian Statistics and what Nate Silver Gets Wrong : The New Yorker"
"StatBandit","http://www.nytimes.com/interactive/2013/03/18/sports/ncaabasketball/nate-bracket.html?_r=1&","Nate Silver’s Tournament Forecast - NYTimes.com"
"StatBandit","http://writingcommons.org/open-text","Summary of Writing Common&#39;s Open Text"
"StatBandit","http://online.liebertpub.com/toc/big/1/1","Volume 1, Issue 1 | Big Data | Table of Contents"
"StatBandit","http://thepowerrank.com/visual/NCAA_Tournament_Predictions","NCAA Men&#39;s Basketball Tournament Bracket, 2013 - The Power Rank"
"StatBandit","http://www.analyticbridge.com/","AnalyticBridge - Data Intelligence, Business Analytics"
"StatBandit","http://www.rseek.org/","RSeek.org R-project Search Engine"
"StatBandit","http://www.quandl.com/","Quandl - Intelligent Search for Numerical Data"
"StatBandit","http://www.statbandit.com/qa/admin/home","Question Answer Script Admin Panel"
"StatBandit","http://statbandit.com/qa/","Question Answer Script - Best Yahoo Answers! Clone Script"
"StatBandit","http://raymondpronk.wordpress.com/","Pronk Palisades | Life, Liberty and The Pursuit of Happiness, Honor, Peace, Prosperity, Truth, Virtue and Wisdom"
"StatBandit","http://blog.yhathq.com/","http://blog.yhathq.com/"
"StatBandit","http://www.gapminder.org/","Gapminder: Unveiling the beauty of statistics for a fact based world view."
"StatBandit","http://lillianpierson.com/Blog/social-intelligence-doing-social-the-smart-way/","Social Intelligence: Doing Social the Smart Way - Lillian Pierson"
"StatBandit","http://freshbiostats.wordpress.com/2013/05/27/spss-sas-or-r-which-one-to-choose/","SPSS, SAS or R…which one to choose? | FreshBiostats"
"StatBandit","http://modelthinker.wordpress.com/","Model Thinking | The official course blog for Scott E. Page&#39;s class on Coursera.org"
"StatBandit","http://en.wikipedia.org/wiki/Voting_paradox","Voting paradox - Wikipedia, the free encyclopedia"
"StatBandit","http://thenumerist.com/","The Numerist - For any math concepts that you need explained, The Numerist will have the answers!"
"StatBandit","http://www.applieddatalabs.com/","Home Page | Applied Data Labs"
"StatBandit","http://www.slideshare.net/BrianSteinhagen/newsfeed","Brian Steinhagen’s Newsfeed - Slide Share"
"StatBandit","http://biblog.arcplan.com/2013/08/seeing-through-bi-vendor-bs/?goback=%2Egde_66416_member_266483773#%21","Seeing Through BI Vendor BS | Business Intelligence Blog from arcplan"
"StatBandit","http://statbandit.com/snapper/","Index of /snapper"
"StatBandit","http://statbandit.com/d20/gridster/","dashboard concept"
"StatBandit","http://nakedpie.com/survey/","http://nakedpie.com/survey/"
"StatBandit","http://www.thestreet.com/story/12043214/1/5-ways-you-can-lock-in-a-job-on-linkedin.html?puc=yahoo&cm_ven=YAHOO","5 Ways You Can Lock In a Job on LinkedIn - TheStreet"
"StatBandit","http://drmartinfletcher.com/","DrMartinFletcher.com | Traumatic Brain Injury, Math, Autism, Anxiety, Depression, Cognitive Behavioral TherapyLearning, &amp; Cogntive Modifiability"
"StatBandit","http://strata.oreilly.com/2013/09/think-about-learning-bayes-using-python.html","Think about learning Bayes using Python - Strata"
"StatBandit","http://en.sommer-sommer.com/braintest/?data=NjksMzE%3D","Right-brained? Left-brained? Take the test!"
"StatBandit","http://www.pro-football-reference.com/","Pro-Football-Reference.com - Pro Football Statistics and History"
"StatBandit","http://statbandit.com/d20/sfg/","http://statbandit.com/d20/sfg/"
"StatBandit","http://statbandit.com/d20/survey/","http://statbandit.com/d20/survey/"
"StatBandit","http://www.parami.us/about.php","About JTS"
"StatBandit","http://statbandit.com/d20/resources/linkpop.php","http://statbandit.com/d20/resources/linkpop.php"
"StatBandit","http://www.r-users.com/","R-users: let&#39;s work together! - A job/resume board for people and companies looking to hire R users"
"StatBandit","http://www.statbandit.com/elo/upload/verot.php","Le VEROT"
"StatBandit","http://www.smc3.com/smc3/","SMC³ | Transportation Pricing at Work"
"StatBandit","https://people.richland.edu/james/lecture/m170/ch06-prb.html","Stats: Probability Distributions"
"StatBandit","http://www.tangotiger.net/","Tango on Baseball"
"StatBandit","http://www.primalmath.com/","http://www.primalmath.com/"
"StatBandit","http://www.lumosity.com/","Brain Games &amp; Brain Training - Lumosity"
"StatBandit","http://footballjobs.teamworkonline.com/teamwork/r.cfm?i=66555","NFL Team Jobs"
"StatBandit","http://www.icrunchdata.com/big-data-jobs-index.aspx","Big Data Jobs Index - icrunchdata"
